簡章代碼,系所別,組別,報考人數,招生名額,錄取人數,錄取情況,錄取最低分數,錄取率,備取人數,本校最低門檻
A03,法律學系,丙組(主修民事法學),282,18,19,流用1,405,0.067375886524822695,2,200
A04,法律學系,丁組(主修刑事法學),506,18,19,流用1,342,0.037549407114624504,2,160
A05,法律學系,戊組(主修財稅法學),53,7,7,NA,407,0.13207547169811321,2,200
A06,法律學系,己組(主修經濟法學),129,12,12,NA,337,0.093023255813953487,2,200
A07,法律學系,庚組(主修國際法學),31,4,4,NA,251,0.12903225806451613,2,200
A08,法律學系,辛組(主修商事法學),418,22,23,流用1,376.5,0.055023923444976079,3,200
A09,科技整合法律學研究所,NA,395,32,33,同分1,75.5,0.083544303797468356,5,40
B01,動物學研究所,甲組(主修生命科學),50,10,10,NA,173.5,0.20000000000000001,6,120
B02,動物學研究所,乙組(主修神經生物學),10,5,5,NA,157,0.5,3,120
B03,植物科學研究所,NA,97,15,15,NA,114.5,0.15463917525773196,10,80
B04,分子與細胞生物學研究所,NA,123,12,12,NA,135.5,0.097560975609756101,9,80
B05,生態學與演化生物學研究所,NA,67,10,10,NA,222,0.14925373134328357,4,120
B06,生化科學研究所,NA,150,10,10,NA,162.75,0.066666666666666666,10,80
B07,生化科技學系,NA,168,21,21,NA,131.13,0.125,10,80
