"","編號","屋齡","建物移轉面積平方公尺","主要用途","主要建材","建築完成日期","總層數","建物分層"
"1","The serial number","room age","building shifting area square meter","the main use","main building materials","construction completes the date","total layer","building lamination"
"8670","RPXNMLRKJHPFFCA58CA","1",".56","見其他登記事項","鋼筋混凝土造","107年7月18日","十五層","一層 二層"
"8671","RPXNMLRKJHPFFCA58CA","1",".27","見其他登記事項","鋼筋混凝土造","107年7月18日","十五層",NA
"8672","RPXNMLRKJHPFFCA58CA","1","41.04","見其他登記事項","鋼筋混凝土造","107年7月18日","十五層",NA
"8673","RPSOMLNJJHPFFBA57CA","33","22.44","共有部分","鋼筋混凝土造","76年3月16日","十二層",NA
"8674","RPSOMLNJJHPFFBA57CA","33","77.63","住家用","鋼筋混凝土造","76年3月16日","十二層","五層"
"8675","RPWNMLQJJHPFFAA08CA","1","16.42","見其他登記事項","鋼筋混凝土造","108年1月29日","七層",NA
"8676","RPWNMLQJJHPFFAA08CA","1","62.65","見其他登記事項","鋼筋混凝土造","108年1月29日","七層","四層"
"8677","RPWNMLQJJHPFFAA08CA","1","35.09","見其他登記事項","鋼筋混凝土造","108年1月29日","七層",NA
"8678","RPTPMLMJJHPFFCA77CA",NA,"96.88",NA,"鋼筋混凝土造",NA,"四層","二層"
"8679","RPSNMLQJJHPFFCA87CA","39","36.18","住家用","鋼筋混凝土造","70年4月23日","十二層","十一層"
"8680","RPSNMLQJJHPFFCA87CA","39","17.26","共有部分","鋼筋混凝土造","70年4月23日","十二層",NA
"8681","RPSNMLQJJHPFFCA87CA","39","20.77","住家用","鋼筋混凝土造","70年4月23日","十二層","十一層"
"8682","RPSNMLQJJHPFFCA87CA","39","9.75","共有部分","鋼筋混凝土造","70年4月23日","十二層",NA
"8683","RPQNMLQJJHPFFAA47CA","22","138.03","住家用","鋼筋混凝土造","86年6月10日","十九層","十七層"
"8684","RPQNMLQJJHPFFAA47CA","22","4.78","共有部分","鋼筋混凝土造","86年6月10日","十九層",NA
